x,y,validity,timestamp,id
199,577,valid,783188488909,0
207,576,valid,783188519255,0
211,575,valid,783188549505,4
215,575,valid,783188579676,4
217,574,valid,783188609925,4
218,574,valid,783188640078,4
220,574,valid,783188670328,4
222,575,valid,783188700481,4
223,575,valid,783188730537,4
223,573,valid,783188791132,4
223,572,valid,783188821285,4
240,461,valid,783188851534,4
268,280,valid,783188881590,4
289,183,valid,783188911831,4
294,140,valid,783188941887,0
297,124,valid,783188972040,0
300,120,valid,783189002386,0
302,116,valid,783189032732,0
300,112,valid,783189062788,0
348,119,valid,783189093134,0
391,127,valid,783189123190,0
418,131,valid,783189153555,0
436,135,valid,783189183803,0
449,138,valid,783189213956,0
459,141,valid,783189244206,0
466,143,valid,783189274359,0
470,145,valid,783189304618,4
474,147,valid,783189334771,4
477,150,valid,783189364923,4
480,153,valid,783189395172,4
482,155,valid,783189425325,4
485,156,valid,783189455584,4
486,157,valid,783189485921,4
487,157,valid,783189515986,4
489,157,valid,783189546226,4
490,157,valid,783189576388,4
491,157,valid,783189606725,4
491,158,valid,783189636772,4
475,159,valid,783189667128,4
293,185,valid,783189697207,4
N/A,N/A,invalid,783189727253,0
N/A,N/A,invalid,783189757480,0
N/A,N/A,invalid,783189787757,0
N/A,N/A,invalid,783189818131,0
N/A,N/A,invalid,783189848490,0
N/A,N/A,invalid,783189878845,0
N/A,N/A,invalid,783189909154,0
N/A,N/A,invalid,783189938902,0
N/A,N/A,invalid,783189969028,0
N/A,N/A,invalid,783189999153,0
N/A,N/A,invalid,783190029458,0
N/A,N/A,invalid,783190059887,0
N/A,N/A,invalid,783190089883,0
N/A,N/A,invalid,783190119935,0
N/A,N/A,invalid,783190150433,0
N/A,N/A,invalid,783190180963,0
N/A,N/A,invalid,783190211230,0
N/A,N/A,invalid,783190241364,0
N/A,N/A,invalid,783190271633,0
N/A,N/A,invalid,783190301748,0
N/A,N/A,invalid,783190332113,0
N/A,N/A,invalid,783190362380,0
N/A,N/A,invalid,783190392689,0
N/A,N/A,invalid,783190422851,0
N/A,N/A,invalid,783190453197,0
N/A,N/A,invalid,783190483456,0
N/A,N/A,invalid,783190513609,0
N/A,N/A,invalid,783190543969,0
N/A,N/A,invalid,783190574030,0
N/A,N/A,invalid,783190604625,0
N/A,N/A,invalid,783190635062,0
N/A,N/A,invalid,783190665317,0
N/A,N/A,invalid,783190695570,0
N/A,N/A,invalid,783190725576,0
N/A,N/A,invalid,783190756079,0
N/A,N/A,invalid,783190786333,0
N/A,N/A,invalid,783190816587,0
N/A,N/A,invalid,783190846840,0
N/A,N/A,invalid,783190877095,0
N/A,N/A,invalid,783190907348,0
N/A,N/A,invalid,783190937602,0
N/A,N/A,invalid,783190967857,0
N/A,N/A,invalid,783190998092,0
N/A,N/A,invalid,783191028300,0
N/A,N/A,invalid,783191058508,0
N/A,N/A,invalid,783191088716,0
N/A,N/A,invalid,783191118924,0
N/A,N/A,invalid,783191149132,0
N/A,N/A,invalid,783191179340,0
N/A,N/A,invalid,783191209548,0
N/A,N/A,invalid,783191239756,0
N/A,N/A,invalid,783191269964,0
N/A,N/A,invalid,783191300172,0
N/A,N/A,invalid,783191330380,0
N/A,N/A,invalid,783191360588,0
N/A,N/A,invalid,783191390796,0
N/A,N/A,invalid,783191421004,0
N/A,N/A,invalid,783191451212,0
N/A,N/A,invalid,783191481420,0
N/A,N/A,invalid,783191511628,0
N/A,N/A,invalid,783191541836,0
N/A,N/A,invalid,783191572044,0
N/A,N/A,invalid,783191602252,0
N/A,N/A,invalid,783191632460,0
N/A,N/A,invalid,783191662318,0
N/A,N/A,invalid,783191692237,0
N/A,N/A,invalid,783191722292,0
N/A,N/A,invalid,783191752542,0
N/A,N/A,invalid,783191782598,0
N/A,N/A,invalid,783191812857,0
N/A,N/A,invalid,783191842913,0
